反馈红包|风水应验红包。只是老客户反馈，不做任何预测，要预测的客户不要购买|1696 次购买
一事一测|具体测一事儿，限时40分钟|686 次购买
解梦服务|缘主梦由心生，解惑安自在，限时半个小时|213 次购买
随缘抽签|缘主抽签后，可以解签问卦，必须自行求取，心诚则灵|213 次购买
流年精解|算2017年的运气，成败，等等，一年的经历|213 次购买
先天伏羲神卦|测单项|208 次购买
怀孕求子预测|预测怀孕，求子，男孩女孩，是否健康|84 次购买
独家策划：感情重点预测|以多种方法预测以后的感情，婚姻问题。以及未来配偶的信息，以及可选择交流生活方式|385 次购买
财运事业精测|预测开店，做生意，买卖，交易。工作，求职|241 次购买
测学业|测求学，留学，考学，靠专业技师，等等|40 次购买
合婚预测|预测婚姻|143 次购买
奇门遁甲精测||26 次购买
南极神数单项|属于上古十大神数之一|13 次购买
北极神数单项|十大神数之一|9 次购买
择日 起名||32 次购买
阴盘六壬|采用上古时期的六壬加奇门测法，转动九千多局，百占百验|8 次购买
校队时辰||4 次购买
大罗星飞宫断|测风水气运|193 次购买
独家策划：婚姻详细预测|独家策划：婚姻详细预测，多种高端预测术综合细致解析|43 次购买
婚姻事业预测||68 次购买
盲派八字断5年|仔细批八字5年，包括细致预测|46 次购买
天罡灵神法|专门寻人，测走失，丢东西，等等|21 次购买
三元太乙局神断|测天时和玄空宅运|49 次购买
紫微斗数单项|紫微斗数单项|22 次购买
盲派高端精解命运|盲派高端解命，独家盲派八字分析。神准，神验|48 次购买
歩天星神课|命运无常，天星断命，百战百验|4 次购买
高端预测|高端命理预测|11 次购买
超度放生特惠|原价1600一次|280 次购买
飞宫小盘断|祖传手法，神奇无比|17 次购买
太岁符加开运符|春节特惠|11 次购买
家传堪舆相学预测|神奇无比，出神入化|73 次购买
催梦||16 次购买
提升运气策划||23 次购买
放生代购||20 次购买
开运祈福|求贵人 催财运 化小人|38 次购买
增加爱情制订|增加波段性，爱情，必须一周一次，连续7到49周，|9 次购买
代购本命佛||3 次购买
祈福|为亲人，孩子，祈福或 化解|13 次购买
七政四余推命法|七政四余推命法，以南朝星宗变异的天师道独门预测|62 次购买
六合文昌策划+天罡北斗|六合文昌+天罡北斗|1 次购买
禄马德和策划||2 次购买
斩小人|斩掉小人，让对自己不好的人得到报应，|12 次购买
增加财运制订|必须一周一次，连续49-72周|14 次购买
阻隔 策划||11 次购买
提升桃花运策划||6 次购买
感情隔离策划|隔离感情|6 次购买
增加感情策划||7 次购买
斗转星移策划||8 次购买
文昌贵人策划|增强记忆力，学习能力，考试名次，面试机会|9 次购买
龙凤和合策划|专门调理婚外情，和好夫妻之间的姻缘。|13 次购买
高端财运神策划|催财，正财，偏财，调理客源增加，和人脉|7 次购买
高端求职升官策划|为失业者，怀才不遇者，提供优良服务，为您解忧|2 次购买
非凡安神策划|对于情绪常年不好，气血不做，身体乏力者，神效|2 次购买
消煞 增加感情策划||5 次购买
消除噩梦策划|化解风水问题，调理健康生活|5 次购买
六合姻缘策划|和合婚姻|8 次购买
提升事业策划|事业。|10 次购买
情感婚姻和合策划|催良缘 合婚姻 催促良缘多选择机会|1 次购买
送子+补五行策划|独家策划：送子局+补五行|2 次购买
护运局+五行归元|独家策划：护运局+五行归元|4 次购买
八方财神+天罡北斗|独家策划：八方财神+天罡北斗|9 次购买
提升魅力策划|提高桃花运，贵人运，强大吸引自己心中的男神女神|13 次购买
求子保胎策划|求子，保胎，保平安。|2 次购买
五福旺财局策划||1 次购买
阴阳五行调理|调理修补五行阴阳，提升自身命局，气场|7 次购买
预付服务|预付费用|12 次购买
高端桃花斩|斩断各种烂桃花，不适合，不应该出现的缘分。|2 次购买
增加魅力美容策划|护肤，丰胸，亮眼，高度提高男神，女神的自我魅力，正能量。|1 次购买
打动前缘策划|打动你过去爱的人，让他金城所致，金石为开|2 次购买
天地姻缘策划||7 次购买
九州财神令加五行归元|独家策划：九州财神令加五行归元|1 次购买
百年连理策划||4 次购买
高端合婚策划|对于各种疑难婚姻，感情问题，进行高端处理|8 次购买
天地姻缘局加百年连理策划||4 次购买
蟾宫折桂+五行归元策划|独家策划：蟾宫折桂+五行归元等，适合政界升职用|0 次购买
爱情交换|让你爱的，同性，异性，爱你，和你对他的感情一样，并且解脱感情痛苦|1 次购买
福寿八方策划|调理一切不顺，增加整体运气，增加一切好运，福气。|0 次购买
高端婚姻急救策划|连做49天，专门处理婚姻感情危机|0 次购买
消解恶缘策划||13 次购买
特殊风水服务|特殊风水服务|0 次购买
